,Method,Queries,Epsilon,Total Client Rules,Percentage Found Rules,Found Rules,Non Rules,Rule Precision,Total Client Structures,Percentage Found Structures,Found Structures,Non Structures,Structure Precision
38,beta_Prunebasic,1000,1.0,553,0.0162748643761302,9,11,0.45,43,0.3023255813953488,13,0,1.0
39,beta_Prunebasic,1000,0.1,553,0.0018083182640144665,1,2,0.3333333333333333,43,0.13953488372093023,6,0,1.0
40,beta_Prunebasic,1000,0.01,553,0.009041591320072333,5,16,0.23809523809523808,43,0.09302325581395349,4,0,1.0
41,beta_Prunebasic,1000,0.001,553,0.003616636528028933,2,4,0.3333333333333333,43,0.16279069767441862,7,0,1.0
42,beta_Prunezero,1000,1000.0,553,0.0018083182640144665,1,463,0.0021551724137931034,43,0.18604651162790697,8,308,0.02531645569620253
43,beta_Prunezero,1000,100.0,553,0.06871609403254973,38,1760,0.021134593993325918,43,0.627906976744186,27,7,0.7941176470588235
44,beta_Prunezero,1000,10.0,553,0.0,0,0,0.0,43,0.0,0,0,0.0
45,beta_Prunezero,1000,1.0,553,0.29294755877034356,162,6806,0.02324913892078071,43,0.18604651162790697,8,3,0.7272727272727273
46,beta_Prunezero,1000,0.1,553,0.13562386980108498,75,5879,0.01259657373194491,43,0.2558139534883721,11,3,0.7857142857142857
47,beta_Prunezero,1000,0.01,553,0.06148282097649186,34,2137,0.01566098572086596,43,0.3488372093023256,15,1,0.9375
48,beta_Prunezero,1000,0.001,553,0.06690777576853527,37,2197,0.01656222023276634,43,0.4418604651162791,19,0,1.0
49,beta_Prunesmall,1000,1000.0,553,0.04701627486437613,26,21,0.5531914893617021,43,0.3023255813953488,13,0,1.0
50,beta_Prunesmall,1000,100.0,553,0.007233273056057866,4,3,0.5714285714285714,43,0.3023255813953488,13,0,1.0
51,beta_Prunesmall,1000,10.0,553,0.0108499095840868,6,7,0.46153846153846156,43,0.3023255813953488,13,0,1.0
52,beta_Prunesmall,1000,1.0,553,0.0054249547920434,3,14,0.17647058823529413,43,0.18604651162790697,8,0,1.0
53,beta_Prunesmall,1000,0.1,553,0.009041591320072333,5,15,0.25,43,0.18604651162790697,8,0,1.0
54,beta_Prunesmall,1000,0.01,553,0.0054249547920434,3,21,0.125,43,0.18604651162790697,8,0,1.0
55,beta_Prunesmall,1000,0.001,553,0.007233273056057866,4,17,0.19047619047619047,43,0.32558139534883723,14,0,1.0
56,beta_Prunebeta,1000,1000.0,553,0.0,0,0,0.0,43,0.0,0,0,0.0
57,beta_Prunebeta,1000,100.0,553,0.039783001808318265,22,49,0.30985915492957744,43,0.18604651162790697,8,0,1.0
58,beta_Prunebeta,1000,10.0,553,0.003616636528028933,2,3,0.4,43,0.20930232558139536,9,0,1.0
59,beta_Prunebeta,1000,1.0,553,0.019891500904159132,11,23,0.3235294117647059,43,0.3488372093023256,15,0,1.0
60,beta_Prunebeta,1000,0.1,553,0.0054249547920434,3,9,0.25,43,0.20930232558139536,9,0,1.0
61,beta_Prunebeta,1000,0.01,553,0.007233273056057866,4,32,0.1111111111111111,43,0.23255813953488372,10,0,1.0
62,beta_Prunebeta,1000,0.001,553,0.003616636528028933,2,8,0.2,43,0.23255813953488372,10,0,1.0
63,beta_PruneactiveClients,1000,1000.0,553,0.003616636528028933,2,586,0.003401360544217687,43,0.18604651162790697,8,427,0.01839080459770115
64,beta_PruneactiveClients,1000,100.0,553,0.07233273056057866,40,2045,0.019184652278177457,43,0.5348837209302325,23,3,0.8846153846153846
65,beta_PruneactiveClients,1000,10.0,553,0.13200723327305605,73,5053,0.01424112368318377,43,0.37209302325581395,16,0,1.0
66,beta_PruneactiveClients,1000,1.0,553,0.034358047016274866,19,1427,0.01313969571230982,43,0.32558139534883723,14,1,0.9333333333333333
67,beta_PruneactiveClients,1000,0.1,553,0.11934900542495479,66,3672,0.01765650080256822,43,0.27906976744186046,12,1,0.9230769230769231
68,beta_PruneactiveClients,1000,0.01,553,0.06148282097649186,34,1990,0.016798418972332016,43,0.3488372093023256,15,3,0.8333333333333334
69,beta_PruneactiveClients,1000,0.001,553,0.10126582278481013,56,3357,0.016407852329329037,43,0.4418604651162791,19,3,0.8636363636363636
70,eps_Prunebasic,1000,1000.0,553,0.0325497287522604,18,8,0.6923076923076923,43,0.32558139534883723,14,0,1.0
71,eps_Prunebasic,1000,100.0,553,0.02531645569620253,14,26,0.35,43,0.18604651162790697,8,0,1.0
72,eps_Prunebasic,1000,10.0,553,0.0,0,4,0.0,43,0.11627906976744186,5,1,0.8333333333333334
73,eps_Prunebasic,1000,1.0,553,0.028933092224231464,16,26,0.38095238095238093,43,0.18604651162790697,8,0,1.0
74,eps_Prunebasic,1000,0.1,553,0.012658227848101266,7,21,0.25,43,0.2558139534883721,11,0,1.0
