,Budget Per Query,Base_1000Q,Base_5000Q
269,0.00001,0.001,0.0002
270,0.00001,0.001,0.0002
271,0.00001,0.001,0.0002
272,0.00001,0.001,0.0002
273,0.0005,0.001,0.0002
274,0.00001,0.001,0.0002
275,0.00001,0.001,0.0002
276,0.00001,0.001,0.0002
277,0.00001,0.001,0.0002
278,0.00001,0.001,0.0002
279,0.00001,0.001,0.0002
280,0.00001,0.001,0.0002
281,0.00001,0.001,0.0002
282,0.00001,0.001,0.0002
283,0.00402,0.001,0.0002
284,0.00001,0.001,0.0002
285,0.00001,0.001,0.0002
286,0.00001,0.001,0.0002
287,0.00001,0.001,0.0002
288,0.00001,0.001,0.0002
289,0.00001,0.001,0.0002
290,0.00001,0.001,0.0002
291,0.00001,0.001,0.0002
292,0.0005,0.001,0.0002
293,0.0005,0.001,0.0002
294,0.00001,0.001,0.0002
295,0.00001,0.001,0.0002
296,0.00001,0.001,0.0002
297,0.00001,0.001,0.0002
298,0.00001,0.001,0.0002
299,0.00001,0.001,0.0002
300,0.00001,0.001,0.0002
301,0.00001,0.001,0.0002
302,0.00001,0.001,0.0002
303,0.00001,0.001,0.0002
304,0.00001,0.001,0.0002
305,0.00001,0.001,0.0002
306,0.00001,0.001,0.0002
307,0.00001,0.001,0.0002
308,0.00001,0.001,0.0002
309,0.00001,0.001,0.0002
310,0.0005,0.001,0.0002
311,0.00001,0.001,0.0002
312,0.00001,0.001,0.0002
313,0.00001,0.001,0.0002
314,0.00001,0.001,0.0002
315,0.00001,0.001,0.0002
316,0.00001,0.001,0.0002
317,0.00001,0.001,0.0002
318,0.00001,0.001,0.0002
319,0.00001,0.001,0.0002
320,0.00001,0.001,0.0002
321,0.0005,0.001,0.0002
322,0.00001,0.001,0.0002
323,0.00001,0.001,0.0002
324,0.00001,0.001,0.0002
325,0.00001,0.001,0.0002
326,0.00001,0.001,0.0002
327,0.00001,0.001,0.0002
328,0.00001,0.001,0.0002
329,0.00001,0.001,0.0002
330,0.00001,0.001,0.0002
331,0.0005,0.001,0.0002
332,0.00001,0.001,0.0002
333,0.00001,0.001,0.0002
334,0.00001,0.001,0.0002
335,0.00001,0.001,0.0002
336,0.00001,0.001,0.0002
337,0.00001,0.001,0.0002
338,0.00001,0.001,0.0002
339,0.00001,0.001,0.0002
340,0.00001,0.001,0.0002
341,0.00001,0.001,0.0002
342,0.00001,0.001,0.0002
343,0.00001,0.001,0.0002
344,0.0005,0.001,0.0002
345,0.00001,0.001,0.0002
346,0.00001,0.001,0.0002
347,0.00001,0.001,0.0002
348,0.00001,0.001,0.0002
349,0.00001,0.001,0.0002
350,0.00001,0.001,0.0002
351,0.00001,0.001,0.0002
352,0.00001,0.001,0.0002
353,0.00001,0.001,0.0002
354,0.0005,0.001,0.0002
355,0.00001,0.001,0.0002
356,0.00001,0.001,0.0002
357,0.00001,0.001,0.0002
358,0.00001,0.001,0.0002
359,0.00001,0.001,0.0002
360,0.00001,0.001,0.0002
361,0.00001,0.001,0.0002
362,0.00001,0.001,0.0002
363,0.00001,0.001,0.0002
364,0.00001,0.001,0.0002
365,0.00001,0.001,0.0002
366,0.00001,0.001,0.0002
367,0.00001,0.001,0.0002
368,0.00001,0.001,0.0002
369,0.00001,0.001,0.0002
370,0.00001,0.001,0.0002
371,0.0005,0.001,0.0002
372,0.00001,0.001,0.0002
373,0.00001,0.001,0.0002
374,0.00001,0.001,0.0002
375,0.00001,0.001,0.0002
376,0.00001,0.001,0.0002
377,0.00001,0.001,0.0002
378,0.00001,0.001,0.0002
379,0.00001,0.001,0.0002
380,0.00001,0.001,0.0002
381,0.00001,0.001,0.0002
382,0.00001,0.001,0.0002
383,0.00001,0.001,0.0002
384,0.00001,0.001,0.0002
385,0.0005,0.001,0.0002
386,0.00001,0.001,0.0002
387,0.00001,0.001,0.0002
388,0.00001,0.001,0.0002
389,0.00001,0.001,0.0002
390,0.00001,0.001,0.0002
391,0.00001,0.001,0.0002
392,0.00001,0.001,0.0002
393,0.005,0.001,0.0002
394,0.00001,0.001,0.0002
395,0.00001,0.001,0.0002
396,0.00001,0.001,0.0002
397,0.00001,0.001,0.0002
398,0.00001,0.001,0.0002
