,Method,Queries,Epsilon,Precision,Accuracy,Patient Precision,Patient Accuracy
42,eps_Prunebasic,1000,1000.0,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
43,eps_Prunebasic,1000,100.0,0.8559670781893004,0.7363013698630136,0.5888888888888889,0.5907314298681448
44,eps_Prunebasic,1000,10.0,0.8928571428571429,0.8972602739726028,0.8555555555555555,0.8668144478706673
45,eps_Prunebasic,1000,1.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
46,eps_Prunebasic,1000,0.1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
47,eps_Prunebasic,1000,0.01,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
48,eps_Prunebasic,1000,0.001,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
49,eps_Pruneone,1000,1000.0,0.8928571428571429,0.8972602739726028,0.8555555555555555,0.8668144478706673
50,eps_Pruneone,1000,100.0,0.8741258741258742,0.8767123287671232,0.9222222222222222,0.9334811145373341
51,eps_Pruneone,1000,10.0,0.8823529411764706,0.8858447488584474,0.6555555555555554,0.6668144478706673
52,eps_Pruneone,1000,1.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
53,eps_Pruneone,1000,0.1,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
54,eps_Pruneone,1000,0.01,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
55,eps_Pruneone,1000,0.001,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
56,eps_Prunesmall,1000,1000.0,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
57,eps_Prunesmall,1000,100.0,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
58,eps_Prunesmall,1000,10.0,0.8928571428571429,0.8972602739726028,0.6555555555555554,0.6668144478706673
59,eps_Prunesmall,1000,1.0,0.8561643835616438,0.8561643835616438,0.9222222222222222,0.9334811145373341
60,eps_Prunesmall,1000,0.1,0.9168704156479217,0.9223744292237442,0.7888888888888889,0.7987872369863136
61,eps_Prunesmall,1000,0.01,0.8561643835616438,0.8561643835616438,0.9888888888888888,1.0001477812040007
62,eps_Prunesmall,1000,0.001,0.8561643835616438,0.8561643835616438,0.6555555555555554,0.6668144478706673
